character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"的","","","de","1","1","possessive, adjectival suffix"
"一","","","yī","1","2","one; a, an; alone"
"是","","","shì","1","3","indeed, yes, right; to be; demonstrative pronoun, this, that"
"不","","","bù","1","4","no, not; un-; negative prefix"
"了","","","le","1","5","to finish; particle of completed action"
"在","","","zài","1","6","be at, in, on; consist in, rest"
"人","","","rén","1","7","man; people; mankind; someone else"
"有","","","yǒu","1","8","have, own, possess; exist"
"我","","","wǒ","1","9","our, us, i, me, my, we"
"他","","","tā","1","10","other, another; he, she, it"
"这","這","這","zhè","1","11","this, the, here"
"个","個","個","gè","1","12","numerary adjunct, piece; single"
"们","們","們","men","1","13","adjunct pronoun indicate plural"
"中","","","zhōng","1","14","central; center, middle; in the midst of; hit (target); attain"
"来","來","來","lái","1","15","come, coming; return, returning"
"上","","","shàng","1","16","top; superior, highest; go up, send up"
"大","","","dà","1","17","big, great, vast, large, high"
"为","爲","為|爲","wèi","2","18","do, handle, govern, act; be"
"和","","","hé","1","19","harmony, peace; peaceful, calm"
"国","國","國","guó","1","20","nation, country, nation-state"
"地","","","de","3","21","earth; soil, ground; region"
"到","","","dào","2","22","go to, arrive, been to"
"以","","","yǐ","2","23","by means of; thereby, therefore; consider as; in order to"
"说","說","說","shuō","1","24","speak, say, talk; scold, upbraid"
"时","時","時","shí","1","25","time, season; era, age, period"
"要","","","yào","2","26","necessary, essential; necessity"
"就","","","jiù","2","27","just, simply; to come, go to; to approach, near"
"出","","","chū","1","28","go out, send out; stand; produce"
"会","會","會","huì","1","29","assemble, meet together; meeting"
"可","","","kě","2","30","may, can, -able; possibly"
"也","","","yě","2","31","also; classical final particle of strong affirmation or identity"
"你","","","nǐ","1","32","you, second person pronoun"
"对","對","對","duì","1","33","correct, right; facing, opposed"
"生","","","shēng","1","34","life, living, lifetime; birth"
"能","","","néng","1","35","to be able; can, permitted to; ability"
"而","","","ér","3","36","and; and then; and yet; but"
"子","","","zi","1","37","offspring, child; fruit, seed of; 1st terrestrial branch"
"那","","","nà","1","38","that, that one, those"
"得","","","dé","2","39","obtain, get, gain, acquire"
"于","於","於","yú","3","40","in, on, at; go to; surname"
"着","","","zhe","2","41","make move, take action"
"下","","","xià","1","42","under, underneath, below; down; inferior; bring down"
"自","","","zì","3","43","self, private, personal; from"
"之","","","zhī","4","44","marks preceding phrase as modifier of following phrase; it, him her, them; go to"
"年","","","nián","1","45",""
"过","過","過","guò","2","46","pass, pass through, go across"
"发","發","發|髮","fā","3","47","issue, dispatch, send out; hair"
"后","後","後","hòu","1","48","queen, empress, sovereign; (simp. for"
"作","","","zuò","1","49","make; work; compose, write; act, perform"
"里","裏","裏|裡","lǐ","1","50","unit of distance; village; lane"
"用","","","yòng","3","51","use, employ, apply, operate; use"
"道","","","dào","2","52","path, road, street; method, way"
"行","","","xíng","3","53","go; walk; move, travel; circulate"
"所","","","suǒ","2","54","place, location; numerary adjunct"
"然","","","rán","2","55","yes, certainly; pledge, promise"
"家","","","jiā","1","56","house, home, residence; family"
"种","種","種","zhǒng","3","57","seed; race, breed; to plant"
"事","","","shì","2","58","affair, matter, business; to serve; accident, incident"
"成","","","chéng","3","59","completed, finished, fixed"
"方","","","fāng","3","60","a square, rectangle; a region; local"
"多","","","duō","1","61","much, many; more than, over"
"经","經","經","jīng","2","62","classic works; pass through"
"么","麼","麼","me","1","63","interrogative particle; repetition of a tune small; tender"
"去","","","qù","1","64","go away, leave, depart"
"法","","","fǎ","3","65","law, rule, regulation, statute; France, French"
"学","學","學","xué","1","66","learning, knowledge; school"
"如","","","rú","3","67","if, supposing; as if; like, as"
"都","","","dōu","1","68","metropolis, capital; all, the whole; elegant, refined"
"同","","","tóng","1","69","same, similar; together with"
"现","現","現","xiàn","1","70","appear, manifest, become visible"
"当","當","當","dāng","3","71","bear, accept, undertake; just"
"没","沒","沒","méi","1","72","not, have not, none; drown, sink"
"动","動","動","dòng","2","73","move, happen; movement, action"
"面","","麵","miàn","1","74","face; surface; plane; side, dimension"
"起","","","qǐ","1","75","rise, stand up; go up; begin"
"看","","","kàn","1","76","look, see; examine, scrutinize"
"定","","","dìng","3","77","decide, settle, fix"
"天","","","tiān","1","78","sky, heaven; god, celestial"
"分","","","fēn","1","79","divide; small unit of time etc."
"还","還","還","hái","2","80","still, yet, also, besides"
"进","進","進","jìn","2","81","advance, make progress, enter"
"好","","","hǎo","1","82","good, excellent, fine; well"
"小","","","xiǎo","1","83","small, tiny, insignificant"
"部","","","bù","4","84","part, division, section"
"其","","","qí","3","85","his, her, its, their; that"
"些","","","xiē","1","86","little, few; rather, somewhat"
"主","","","zhǔ","3","87","master, chief owner; host; lord"
"样","樣","樣","yàng","1","88","shape, form, pattern, style"
"理","","","lǐ","3","89","reason, logic; manage"
"心","","","xīn","3","90","heart; mind, intelligence; soul"
"她","","","tā","1","91","she, her"
"本","","","běn","1","92","root, origin, source; basis"
"前","","","qián","1","93","in front, forward; preceding"
"开","開","開","kāi","1","94","open; initiate, begin, start"
"但","","","dàn","2","95","only; but, however, yet, still"
"因","","","yīn","2","96","cause, reason; by; because (of)"
"只","","隻","zhǐ","3","97","only, just, simply"
"从","從","從","cóng","2","98","from, by, since, whence, through"
"想","","","xiǎng","1","99","think, speculate, plan, consider"
"实","實","實","shí","3","100","real, true; honest, sincere"
"日","","","rì","2","101","sun; day; daytime"
"军","軍","軍","jūn","5","102","army, military; soldiers, troops"
"者","","","zhě","3","103","that which; he who; those who"
"意","","","yì","2","104","thought, idea, opinion; think"
"无","無","無","wú","4","105","negative, no, not; KangXi radical 71"
"力","","","lì","3","106","power, capability, influence"
"它","","","tā","2","107","it; other"
"与","與","與","yǔ","4","108","and; with; to; for; give, grant"
"长","長","長","zhǎng","2","109","long; length; excel in; leader"
"把","","","bǎ","3","110","hold, take; guard; regard as"
"机","機","機","jī","1","111","desk; machine; moment"
"十","","","shí","1","112","ten, tenth; complete; perfect"
"民","","","mín","4","113","people, subjects, citizens"
"第","","","dì","2","114","sequence, number; grade, degree"
"公","","","gōng","2","115","fair, equitable; public; duke"
"此","","","cǐ","4","116","this, these; in this case, then"
"已","","","yǐ","2","117","already; finished; stop"
"工","","","gōng","1","118","labor, work; worker, laborer"
"使","","","shǐ","4","119","cause, send on a mission, order; envoy, messenger, ambassador"
"情","","","qíng","2","120","feeling, sentiment, emotion"
"明","","","míng","1","121","bright, light, brilliant; clear"
"性","","","xìng","4","122","nature, character, sex"
"知","","","zhī","2","123","know, perceive, comprehend"
"全","","","quán","4","124","maintain, keep whole or intact"
"三","","","sān","1","125","three"
"又","","","yòu","3","126","and, also, again, in addition"
"关","關","關","guān","1","127","frontier pass; close; relation"
"点","點","點","diǎn","1","128","dot, speck, spot; point, degree"
"正","","","zhèng","2","129","right, proper, correct"
"业","業","業","yè","3","130","profession, business; GB radical 111"
"外","","","wài","2","131","out, outside, external; foreign"
"将","將","將","jiāng","4","132","will, going to, future; general"
"两","兩","兩","liǎng","2","133","two, both, pair, couple; ounce"
"高","","","gāo","1","134","high, tall; lofty, elevated"
"间","間","間","jiān","2","135","midpoint, space; place, locality"
"由","","","yóu","4","136","cause, reason; from"
"问","問","問","wèn","2","137","ask about, inquire after"
"很","","","hěn","1","138","very, quite, much"
"最","","","zuì","2","139","most, extremely, exceedingly"
"重","","","zhòng","3","140","heavy, weighty; double"
"并","並","並","bìng","4","141",""
"物","","","wù","3","142","thing, substance, creature"
"手","","","shǒu","2","143","hand"
"应","應","應","yīng","3","144","should, ought to, must"
"战","戰","戰","zhàn","5","145","war, fighting, battle"
"向","","","xiàng","3","146","toward, direction, trend"
"头","頭","頭","tóu","3","147","head; top; chief, first; boss"
"文","","","wén","3","148","literature, culture, writing"
"体","體","體","tǐ","2","149","body; group, class, body, unit; inferior"
"政","","","zhèng","5","150","government, political affairs"
"美","","","měi","4","151","beautiful, pretty; pleasing"
"相","","","xiāng","3","152","mutual, reciprocal, each other"
"见","見","見","jiàn","1","153","see, observe, behold; perceive"
"被","","","bèi","3","154",""
"利","","","lì","4","155","gains, advantage, profit, merit"
"什","","","shén","1","156","file of ten soldiers; mixed, miscellaneous"
"二","","","èr","1","157","two; twice"
"等","","","děng","2","158",""
"产","產","產","chǎn","5","159","give birth, bring forth, produce"
"或","","","huò","3","160","or, either, else; perhaps, maybe"
"新","","","xīn","2","161","new, recent, fresh, modern"
"己","","","jǐ","3","162","self, oneself; personal, private; 6th heavenly stem"
"制","","","zhì","5","163","system; establish; overpower"
"身","","","shēn","2","164","body; trunk, hull; rad. no. 158"
"果","","","guǒ","1","165","fruit; result"
"加","","","jiā","3","166","add to, increase, augment"
"西","","","xī","1","167","west(ern); westward, occident"
"斯","","","sī","6","168","this, thus, such; to lop off; emphatic particle"
"月","","","yuè","1","169","moon; month; KangXi radical 74"
"话","話","話","huà","1","170","speech, talk, language; dialect"
"合","","","hé","4","171","combine, unite, join; gather"
"回","","","huí","1","172","return, turn around; a time"
"特","","","tè","3","173","special, unique, distinguished"
"代","","","dài","5","174","replace, replacement (of person or generation); era, generation"
"内","內","內","nèi","4","175","inside"
"信","","","xìn","3","176","trust, believe; letter"
"表","","","biǎo","2","177","show, express, manifest, display"
"化","","","huà","3","178","change, convert, reform; -ize"
"老","","","lǎo","1","179","old, aged; experienced"
"给","給","給","gěi","2","180","give; by, for"
"世","","","shì","3","181","generation; world; era"
"位","","","wèi","3","182","throne; position, post; rank, status; seat"
"次","","","cì","2","183","order, sequence; next"
"度","","","dù","4","184","degree, system; manner; to consider"
"门","門","門","mén","2","185","gate, door, entrance, opening"
"任","","","rèn","4","186","trust to, rely on, appoint; to bear, duty, office; allow"
"常","","","cháng","2","187","common, normal, frequent, regular"
"先","","","xiān","1","188","first, former, previous"
"海","","","hǎi","4","189","sea, ocean; maritime"
"通","","","tōng","4","190","pass through, common, communicate"
"教","","","jiào","2","191","teach, class"
"儿","兒","兒","ér","1","192","son, child; KangXi radical 10"
"原","","","yuán","4","193","source, origin, beginning"
"东","東","東","dōng","1","194","east, eastern, eastward"
"声","聲","聲","shēng","3","195","sound, voice, noise; tone; music"
"提","","","tí","3","196","hold in hand; lift in hand"
"立","","","lì","5","197","stand; let stand; establish, set"
"及","","","jí","4","198","extend; reach; come up to; and"
"比","","","bǐ","2","199","to compare, liken; comparison; than"
"员","員","員","yuán","2","200","member; personnel, staff member"
"解","","","jiě","3","201","loosen, unfasten, untie; explain"
"水","","","shuǐ","1","202","water, liquid, lotion, juice"
"名","","","míng","1","203","name, rank, title, position"
"真","","","zhēn","2","204","real, actual, true, genuine"
"论","論","論","lùn","4","205","debate; discuss; discourse"
"处","處","處","chù","4","206","place, locale; department"
"走","","","zǒu","2","207","walk, go on foot; run; leave"
"义","義","義","yì","5","208","right conduct, righteousness"
"各","","","gè","4","209","each, individually, every, all"
"入","","","rù","4","210","enter, come in(to), join"
"几","幾","幾","jǐ","1","211","small table"
"口","","","kǒu","3","212","mouth; open end; entrance, gate"
"认","認","認","rèn","1","213","recognize, know, understand"
"条","條","條","tiáo","2","214","clause, condition; string, stripe"
"平","","","píng","3","215","flat, level, even; peaceful"
"系","","","xì","1","216","system; line, link, connection"
"气","氣","氣","qì","1","217","steam, vapor; KangXi radical 84"
"题","題","題","tí","2","218","forehead; title, headline; theme"
"活","","","huó","4","219","live, exist, survive; lively"
"尔","爾","爾","ěr","4","220","you; that, those; final particle"
"更","","","gèng","3","221","more, still further, much more"
"别","別","別","bié","2","222","separate, other; do not"
"打","","","dǎ","1","223","strike, hit, beat; fight; attack"
"女","","","nǚ","1","224","woman, girl; feminine; rad. 38"
"变","變","變","biàn","3","225","change, transform, alter; rebel"
"四","","","sì","1","226","four"
"神","","","shén","5","227","spirit, god, supernatural being"
"总","總","總","zǒng","3","228","collect; overall, altogether"
"何","","","hé","4","229","what, why, where, which, how"
"电","電","電","diàn","1","230","electricity; electric; lightning"
"数","數","數","shù","3","231","number; several, count; fate"
"安","","","ān","3","232","peaceful, tranquil, quiet"
"少","","","shǎo","1","233","few, less, inadequate"
"报","報","報","bào","2","234","report, tell, announce"
"才","","","cái","3","235","talent, ability; just, only"
"结","結","結","jié","3","236","knot, tie; join, connect"
"反","","","fǎn","4","237","reverse, opposite, contrary, anti"
"受","","","shòu","4","238","receive, accept, get; bear, stand"
"目","","","mù","3","239","eye; look, see; division, topic"
"太","","","tài","1","240","very, too, much; big; extreme"
"量","","","liàng","4","241","measure, quantity, capacity"
"再","","","zài","1","242","again, twice, re-"
"感","","","gǎn","3","243","feel, perceive, emotion"
"建","","","jiàn","4","244","build, establish, erect, found"
"务","務","務","wù","2","245","affairs, business; must, should"
"做","","","zuò","1","246","work, make; act"
"接","","","jiē","3","247","receive; continue; catch; connect"
"必","","","bì","3","248","surely, most certainly; must"
"场","場","場","chǎng","2","249","open space, field, market"
"件","","","jiàn","2","250","numerary adjunct for article; matter"
"计","計","計","jì","4","251","plan, plot; strategem; scheme"
"管","","","guǎn","4","252","pipe, tube, duct; woodwind music"
"期","","","qī","1","253","period of time; date; time limit"
"市","","","shì","3","254","market, fair; city, town; trade"
"直","","","zhí","3","255","straight, erect, vertical"
"德","","","dé","5","256","ethics, morality, virtue"
"资","資","資","zī","4","257","property; wealth; capital"
"命","","","mìng","4","258","life; destiny, fate, luck; an order, instruction"
"山","","","shān","3","259","mountain, hill, peak"
"金","","","jīn","4","260","gold; metals in general; money"
"指","","","zhǐ","4","261","finger, toe; point, indicate"
"克","","","kè","4","262","gram; overcome; transliteration"
"许","許","許","xǔ","4","263","allow, permit; promise; betroth"
"统","統","統","tǒng","5","264","govern, command, control; unite"
"区","區","區","qū","4","265","area, district, region, ward"
"保","","","bǎo","4","266","protect, safeguard, defend, care"
"至","","","zhì","4","267","reach, arrive; extremely, very"
"队","隊","隊","duì","4","268","team, group; army unit"
"形","","","xíng","5","269","form, shape, appearance"
"社","","","shè","4","270","god of the soil and altars to him; group of families; company, society"
"便","","","biàn","2","271","convenience, ease; expedient"
"空","","","kōng","3","272","empty, hollow, bare, deserted"
"决","決","決","jué","3","273","decide, determine, judge"
"治","","","zhì","5","274","govern, regulate, administer"
"展","","","zhǎn","4","275","open, unfold; stretch, extend"
"马","馬","馬","mǎ","3","276","horse; surname; KangXi radical 187"
"科","","","kē","4","277","section, department, science"
"司","","","sī","2","278","take charge of, control, manage; officer"
"五","","","wǔ","1","279","five; surname"
"基","","","jī","4","280","foundation, base"
"眼","","","yǎn","2","281","eye; eyelet, hole, opening"
"书","書","書","shū","1","282","book, letter, document; writings"
"非","","","fēi","2","283","not, negative, non-; oppose"
"则","則","則","zé","4","284","rule, law, regulation; grades"
"听","聽","聽","tīng","1","285","hear; understand; obey, comply"
"白","","","bái","2","286","white; pure, unblemished; bright"
"却","卻","卻","què","4","287","still, but; decline; retreat"
"界","","","jiè","3","288","boundary, limit; domain; society; the world"
"达","達","達","dá","5","289","arrive at, reach; intelligent; smooth, slippery"
"光","","","guāng","4","290","light, brilliant, shine; only"
"放","","","fàng","3","291","put, release, free, liberate"
"强","強","強","qiáng","5","292","strong, powerful, energetic"
"即","","","jí","4","293","promptly, quickly, immediately"
"像","","","xiàng","3","294","a picture, image, figure; to resemble"
"难","難","難","nán","3","295","difficult, arduous, hard; unable"
"且","","","qiě","3","296","moreover, also (post-subject); about to, will soon (pre-verb)"
"权","權","權","quán","5","297","power, right, authority"
"思","","","sī","2","298","think, consider, ponder; final particle"
"王","","","wáng","5","299","king, ruler; royal; surname"
"象","","","xiàng","4","300","elephant; ivory; figure, image"
"完","","","wán","2","301","complete, finish, settle; whole"
"设","設","設","shè","5","302","build; establish; display"
"式","","","shì","4","303","style, system, formula, rule"
"色","","","sè","2","304","color, tint, hue, shade; form, body; beauty, desire for beauty"
"路","","","lù","2","305","road, path, street; journey"
"记","記","記","jì","3","306","record; keep in mind, remember"
"南","","","nán","3","307","south; southern part; southward"
"品","","","pǐn","5","308","article, product, commodity"
"住","","","zhù","1","309","reside, live at, dwell, lodge; stop"
"告","","","gào","2","310","tell, announce, inform; accuse"
"类","類","類","lèi","5","311","class, group, kind, category"
"求","","","qiú","3","312","seek; demand, request; beseech"
"据","據","據","jù","3","313","to occupy, take possession of; a base, position"
"程","","","chéng","4","314","journey, trip; schedule, agenda"
"北","","","běi","1","315","north; northern; northward"
"边","邊","邊","biān","2","316","edge, margin, side, border"
"死","","","sǐ","4","317","die; dead; death"
"张","張","張","zhāng","3","318","stretch, extend, expand; sheet"
"该","該","該","gāi","3","319","should, ought to, need to"
"交","","","jiāo","4","320","mix; intersect; exchange, communicate; deliver"
"规","規","規","guī","4","321","rules, regulations, customs, law"
"万","萬","萬","wàn","3","322","ten thousand; innumerable"
"取","","","qǔ","4","323","take, receive, obtain; select"
"拉","","","lā","4","324","pull, drag; seize, hold; lengthen"
"格","","","gé","4","325","pattern, standard, form; style"
"望","","","wàng","2","326","to look at, look forward; to hope, expect"
"觉","覺","覺","jué","1","327","to wake up from sleep; conscious"
"术","術","術","shù","4","328","art, skill, special feat; method, technique"
"领","領","領","lǐng","5","329","neck; collar; lead, guide"
"共","","","gòng","2","330","together with, all, total; to share"
"确","確","確","què","4","331","sure, certain; real, true"
"传","傳","傳","chuán","4","332","summon; propagate, transmit"
"师","師","師","shī","1","333","teacher, master, specialist"
"观","觀","觀","guān","4","334","see, observe, view; appearance"
"清","","","qīng","3","335","clear, pure, clean; peaceful"
"今","","","jīn","1","336","now, today, modern era"
"切","","","qiè","4","337","cut, mince, slice, carve"
"院","","","yuàn","1","338","courtyard, yard, court; school"
"让","讓","讓","ràng","2","339","allow, permit, yield, concede"
"识","識","識","shí","1","340","recognize, understand, know"
"候","","","hòu","1","341","wait; expect; visit; greet"
"带","帶","帶","dài","3","342","belt, girdle, band, strap, zone"
"导","導","導","dǎo","4","343","direct, guide, lead, conduct"
"争","爭","爭","zhēng","4","344","dispute, fight, contend, strive"
"运","運","運","yùn","2","345","run; simplified form of"
"笑","","","xiào","2","346","smile, laugh, giggle; snicker"
"飞","飛","飛","fēi","1","347","fly; go quickly; dart; high"
"风","風","風","fēng","3","348","wind; air; manners, atmosphere"
"步","","","bù","2","349","step, pace; walk, stroll"
"改","","","gǎi","4","350","change, alter; improve, remodel"
"收","","","shōu","4","351","gather together, collect; harvest"
"根","","","gēn","3","352","root, base(d on); foundation"
"干","幹","乾|幹","gàn","3","353","oppose, offend; invade; dried"
"造","","","zào","5","354","construct, build, make, begin; prepare"
"言","","","yán","4","355","words, speech; speak, say"
"联","聯","聯","lián","4","356","connect, join; associate, ally"
"持","","","chí","4","357","sustain, support; hold, grasp"
"组","組","組","zǔ","5","358","class; section, department"
"每","","","měi","2","359","every, each"
"济","濟","濟","jì","4","360","help, aid, relieve; ferry, cross"
"车","車","車","chē","1","361","cart, vehicle; carry in cart"
"亲","親","親","qīn","4","362","relatives, parents; intimate the hazel nut or filbert tree a thorny tree"
"极","極","極","jí","3","363","extreme, utmost, furthest, final"
"林","","","lín","4","364","forest, grove; surname"
"服","","","fú","1","365","clothes; wear, dress"
"快","","","kuài","2","366","rapid, quick, speedy, fast; soon"
"办","辦","辦","bàn","3","367","manage, do, handle; deal with"
"议","議","議","yì","3","368","consult, talk over, discuss"
"往","","","wǎng","2","369","go, depart; past, formerly"
"元","","","yuán","3","370","first; dollar; origin; head"
"英","","","yīng","5","371","petal, flower, leaf; brave, a hero; England, English"
"士","","","shì","4","372","scholar, gentleman; soldier"
"证","證","證","zhèng","4","373","prove, confirm, verify; proof"
"近","","","jìn","2","374","near, close; approach; intimate"
"失","","","shī","4","375","lose; make mistake, neglect"
"转","轉","轉","zhuǎn","4","376","shift, move, turn"
"夫","","","fū","2","377","man, male adult, husband; those"
"令","","","lìng","5","378",""
"准","準","準","zhǔn","2","379","approve, allow, permit; in accord"
"布","","","bù","5","380","cotton cloth, textiles, linen"
"始","","","shǐ","2","381","begin, start; then, only then"
"怎","","","zěn","1","382","what? why? how?"
"呢","","","ne","1","383","interrogative or emphatic final; (Cant.) this"
"存","","","cún","4","384","exist, live, be; survive; remain"
"未","","","wèi","5","385","not yet; 8th terrestrial branch"
"远","遠","遠","yuǎn","2","386","distant, remote, far; profound"
"叫","","","jiào","1","387","cry, shout; hail, greet, call"
"台","臺","檯|臺","tái","4","388","platform; unit; term of address"
"单","單","單","dān","3","389","single, individual, only; lone"
"影","","","yǐng","1","390","shadow; image, reflection; photograph"
"具","","","jù","4","391","tool, implement; draw up, write"
"罗","羅","羅","luō","","392","net for catching birds; gauze"
"字","","","zì","1","393","letter, character, word"
"爱","愛","愛","ài","1","394","love, be fond of, like"
"击","擊","擊","jī","5","395","strike, hit, beat; attack, fight"
"流","","","liú","4","396","flow, circulate, drift; class"
"备","備","備","bèi","2","397","prepare, ready, perfect"
"兵","","","bīng","5","398","soldier, troops"
"连","連","連","lián","4","399","join, connect; continuous; even"
"调","調","調","diào","3","400","transfer, move, change; tune"
"深","","","shēn","4","401","deep; depth; far; very, extreme"
"商","","","shāng","1","402","commerce, business, trade"
"算","","","suàn","3","403","count, calculate, figure; plan"
"质","質","質","zhì","4","404","matter, material, substance"
"团","團","團","tuán","5","405","sphere, ball, circle; mass, lump"
"集","","","jí","5","406","assemble, collect together"
"百","","","bǎi","2","407","one hundred; numerous, many"
"需","","","xū","3","408","need, require, must"
"价","價","價","jià","4","409","price, value"
"花","","","huā","3","410","flower; blossoms"
"党","黨","黨","dǎng","6","411","political party, gang, faction"
"华","華","華","huá","5","412","flowery; illustrious; Chinese"
"城","","","chéng","3","413","castle; city, town; municipality"
"石","","","shí","5","414","stone, rock, mineral; rad. 112"
"级","級","級","jí","3","415","level, rank, class; grade"
"整","","","zhěng","4","416","orderly, neat, tidy; whole"
"府","","","fǔ","5","417","prefecture; prefect; government"
"离","離","離","lí","2","418","rare beast; strange; elegant"
"况","況","況","kuàng","4","419","condition, situation; furthermore"
"亚","亞","亞","yà","4","420","Asia; second"
"请","請","請","qǐng","1","421","ask, request; invite; please"
"技","","","jì","4","422","skill, ability, talent, ingenuity"
"际","際","際","jì","4","423","border, boundary, juncture"
"约","約","約","yuē","4","424","treaty, agreement, covenant"
"示","","","shì","4","425","show, manifest; demonstrate"
"复","復","復","fù","3","426","return; repeat; repeatedly"
"病","","","bìng","2","427","illness, sickness, disease"
"息","","","xī","2","428","rest, put stop to, end, cease"
"究","","","jiū","4","429","examine, investigate"
"线","線","線","xiàn","4","430","line, thread, wire; clue"
"似","","","shì","5","431","resemble, similar to; as if, seem"
"官","","","guān","5","432","official, public servant"
"火","","","huǒ","2","433","fire, flame; burn; anger, rage"
"断","斷","斷","duàn","4","434","sever, cut off; interrupt"
"精","","","jīng","4","435","essence; semen; spirit"
"满","滿","滿","mǎn","3","436","fill; full, satisfied"
"支","","","zhī","4","437","disperse, pay; support; branch"
"视","視","視","shì","1","438","look at, inspect, observe, see"
"消","","","xiāo","4","439","vanish, die out; melt away"
"越","","","yuè","3","440","exceed, go beyond; the more ..."
"器","","","qì","5","441","receptacle, vessel; instrument"
"容","","","róng","3","442","looks, appearance; figure, form"
"照","","","zhào","3","443","shine, illumine, reflect"
"须","須","須","xū","3","444","must, have to, necessary"
"九","","","jiǔ","1","445","nine"
"增","","","zēng","4","446","increase, add to, augment"
"研","","","yán","4","447","grind, rub; study, research"
"写","寫","寫","xiě","1","448","write; draw, sketch; compose"
"称","稱","稱","chēng","5","449","call; name, brand; address; say"
"企","","","qǐ","5","450","plan a project; stand on tiptoe"
"八","","","bā","1","451","eight; all around, all sides"
"功","","","gōng","4","452","achievement, merit, good result"
"吗","嗎","嗎","ma","1","453","final interrogative particle"
"包","","","bāo","3","454","wrap, pack, bundle; package"
"片","","","piàn","3","455","slice, splinter, strip; rad. 91"
"史","","","shǐ","3","456","history, chronicle, annals"
"委","","","wěi","5","457","appoint, send, commission"
"乎","","","hū","3","458","interrogative or exclamatory final particle"
"查","","","chá","3","459","investigate, examine, seek into"
"轻","輕","輕","qīng","3","460","light; easy, simple; gentle"
"易","","","yì","3","461","change; easy"
"早","","","zǎo","2","462","early; soon; morning"
"曾","","","céng","5","463","already; sign of past"
"除","","","chú","3","464","eliminate, remove, except"
"农","農","農","nóng","5","465","agriculture, farming; farmer"
"找","","","zhǎo","2","466","search, seek, look for; find"
"装","裝","裝","zhuāng","5","467","dress, clothes, attire; fill"
"广","廣","廣","guǎng","4","468","wide, extensive, broad; rad. 53"
"显","顯","顯","xiǎn","5","469","manifest, display; evident, clear"
"吧","","","ba","2","470","emphatic final particle"
"阿","","","ā","3","471",""
"李","","","lǐ","3","472","plum; judge; surname"
"标","標","標","biāo","4","473","mark, symbol, label, sign; stand the bole of a tree"
"谈","談","談","tán","4","474","talk; conversation; surname"
"吃","喫","喫","chī","1","475","eat; drink; suffer, endure, bear"
"图","圖","圖","tú","3","476","diagram; chart, map, picture"
"念","","","niàn","5","477","think of, recall, study"
"六","","","liù","1","478","number six"
"引","","","yǐn","4","479","to pull, draw out, attract; to stretch"
"历","歷","歷","lì","3","480","history; calendar"
"首","","","shǒu","4","481","head; first; leader, chief; a poem"
"医","醫","醫","yī","1","482","cure, heal; doctor, medical"
"局","","","jú","4","483","bureau, office; circumstance"
"突","","","tū","3","484","suddenly, abruptly, unexpectedly"
"专","專","專","zhuān","4","485","monopolize, take sole possession"
"费","費","費","fèi","4","486","expenses, expenditures, fee"
"号","號","號","hào","1","487","mark, sign; symbol; number"
"尽","盡","盡","jǐn","4","488","exhaust, use up; deplete"
"另","","","lìng","4","489","another, separate, other"
"周","","","zhōu","3","490","Zhou dynasty; circumference"
"较","較","較","jiào","3","491","compare; comparatively, more"
"注","","","zhù","3","492","concentrate, focus, direct"
"语","語","語","yǔ","1","493","language, words; saying, expression"
"仅","僅","僅","jǐn","4","494","only, merely, solely, just"
"考","","","kǎo","2","495","examine, test; investigate"
"落","","","luò","4","496","fall, drop; net income, surplus"
"青","","","qīng","5","497","blue, green, black; young"
"随","隨","隨","suí","4","498","follow, listen to, submit to"
"选","選","選","xuǎn","3","499","choose, select; elect; election"
"列","","","liè","4","500","a line; to arrange in order, classify"
"武","","","wǔ","5","501","military; martial, warlike"
"红","紅","紅","hóng","2","502","red, vermillion; blush, flush"
"响","響","響","xiǎng","3","503","make sound, make noise; sound"
"虽","雖","雖","suī","2","504","although, even if"
"推","","","tuī","4","505","push, expel; push forward"
"势","勢","勢","shì","5","506","power, force; tendency"
"参","參","參","cān","3","507","take part in, intervene; ginseng"
"希","","","xī","2","508","rare; hope, expect, strive for"
"古","","","gǔ","5","509","old, classic, ancient"
"众","衆","衆","zhòng","4","510","multitude, crowd; masses, public"
"构","構","構","gòu","5","511","frame, building, structure"
"房","","","fáng","2","512","house, building; room"
"半","","","bàn","3","513","half"
"节","節","節","jié","3","514","knot, node, joint; section"
"土","","","tǔ","5","515","soil, earth; items made of earth"
"投","","","tóu","5","516","throw, cast, fling, pitch; jump"
"某","","","mǒu","5","517","certain thing or person"
"案","","","àn","4","518","table, bench; legal case"
"黑","","","hēi","2","519","black; dark; evil, sinister"
"维","維","維","wéi","5","520","maintain, preserve, safeguard"
"革","","","gé","5","521","leather, animal hides; rad. 177"
"划","劃","劃","huà","4","522","to row or paddle boat; to scratch"
"敌","敵","敵","dí","5","523","enemy, foe, rival; resist"
"致","","","zhì","5","524","send, deliver, present; cause"
"陈","陳","陳","chén","6","525","exhibit, display; plead; a surname"
"律","","","lǜ","4","526","statute, principle, regulation"
"足","","","zú","2","527","foot; attain, satisfy, enough"
"态","態","態","tài","4","528","manner, bearing, attitude"
"护","護","護","hù","3","529","protect, guard, defend, shelter"
"七","","","qī","1","530","seven"
"兴","興","興","xìng","1","531","thrive, prosper, flourish"
"派","","","pài","5","532","school of thought, sect, branch"
